NAME,Population,Median Age,Median Household Income,Unemployment Rate,Wage-based Gini,White-alone,Bachelor,Poverty,Labor,Manufacturing,Children,Foreign-born,Housing,Vacancy,Owner,State,Place
"Frazee city, Minnesota",1341,35.0,49375,20.0,0.357,1187.0,84.0,312.0,649.0,37778.0,9.0,268.0,578.0,59.0,299.0,27,22472
"Inver Grove Heights city, Minnesota",35320,39.7,78347,846.0,0.4466,29070.0,6530.0,7684.0,19784.0,64762.0,3726.0,7397.0,14688.0,602.0,9556.0,27,31076
"South Haven city, Minnesota",179,42.3,51875,9.0,0.347,174.0,5.0,42.0,95.0,45625.0,0.0,42.0,75.0,0.0,61.0,27,61402
"Sherburn city, Minnesota",1033,42.7,52857,3.0,0.3812,1012.0,74.0,212.0,581.0,45000.0,10.0,212.0,561.0,95.0,309.0,27,59620
"Buffalo city, Minnesota",16210,36.5,73955,442.0,0.4676,15808.0,2518.0,4150.0,8879.0,47760.0,298.0,4112.0,6546.0,383.0,4415.0,27,08452
"Howard Lake city, Minnesota",1881,40.1,52731,17.0,0.3698,1796.0,148.0,461.0,996.0,45234.0,25.0,461.0,889.0,62.0,486.0,27,30284
"Aurora city, Minnesota",1775,43.4,38536,67.0,0.4283,1717.0,129.0,365.0,663.0,53438.0,51.0,323.0,901.0,138.0,565.0,27,02872
"Biwabik city, Minnesota",598,45.5,41719,16.0,0.4235,574.0,63.0,86.0,323.0,24135.0,12.0,77.0,475.0,152.0,236.0,27,06148
"Floodwood city, Minnesota",449,45.3,33424,23.0,0.3665,441.0,11.0,76.0,201.0,64375.0,4.0,68.0,293.0,52.0,168.0,27,21338
"Fifty Lakes city, Minnesota",340,61.0,48125,8.0,0.5448,335.0,61.0,42.0,132.0,58438.0,12.0,42.0,626.0,452.0,164.0,27,21032
"Nisswa city, Minnesota",1817,48.9,67000,14.0,0.4253,1734.0,400.0,369.0,896.0,32450.0,47.0,369.0,1533.0,785.0,673.0,27,46348
"Minneota city, Minnesota",1282,47.4,64500,22.0,0.322,1224.0,155.0,251.0,693.0,42750.0,53.0,251.0,614.0,76.0,442.0,27,43126
"Russell city, Minnesota",296,39.8,52292,6.0,0.3746,265.0,19.0,63.0,179.0,31875.0,5.0,63.0,148.0,17.0,107.0,27,56428
"Donnelly city, Minnesota",244,43.8,59375,0.0,0.3624,226.0,14.0,40.0,158.0,51250.0,0.0,40.0,133.0,13.0,98.0,27,16084
"Appleton city, Minnesota",1412,44.2,34856,41.0,0.5372,1205.0,152.0,297.0,672.0,35547.0,87.0,291.0,830.0,113.0,425.0,27,01864
"Danvers city, Minnesota",152,30.0,64750,0.0,0.2594,152.0,29.0,44.0,93.0,52500.0,0.0,43.0,66.0,6.0,53.0,27,14734
"De Graff city, Minnesota",126,54.0,50000,2.0,0.6085,126.0,14.0,10.0,84.0,51250.0,12.0,6.0,85.0,19.0,54.0,27,15418
"Grove City city, Minnesota",615,29.6,49375,13.0,0.3314,568.0,26.0,211.0,253.0,27292.0,3.0,211.0,254.0,17.0,140.0,27,26126
"Correll city, Minnesota",45,34.4,49375,1.0,0.2332,45.0,0.0,11.0,27.0,-666666666.0,0.0,11.0,35.0,16.0,18.0,27,13384
"Elbow Lake CDP, Minnesota",79,34.5,-666666666,2.0,0.4957,13.0,0.0,16.0,19.0,-666666666.0,0.0,10.0,76.0,44.0,18.0,27,18440
"Hitterdal city, Minnesota",206,52.6,59688,0.0,0.3792,206.0,15.0,34.0,97.0,28500.0,0.0,34.0,108.0,7.0,86.0,27,29402
"Sabin city, Minnesota",622,31.7,86583,10.0,0.3298,608.0,56.0,202.0,346.0,60417.0,1.0,200.0,233.0,28.0,198.0,27,56554
"Blaine city, Minnesota",64114,37.7,84933,1297.0,0.3973,51141.0,10340.0,16612.0,35608.0,54380.0,7817.0,16023.0,23911.0,788.0,19984.0,27,06382
"Centerville city, Minnesota",3985,38.6,107794,63.0,0.3775,3701.0,873.0,1143.0,2294.0,63185.0,115.0,1102.0,1415.0,19.0,1268.0,27,10648
"Circle Pines city, Minnesota",4950,39.8,83224,61.0,0.3576,4403.0,818.0,1107.0,2885.0,46019.0,242.0,1063.0,1947.0,56.0,1488.0,27,11494
"Coon Rapids city, Minnesota",62517,39.4,71267,1426.0,0.3632,52557.0,8146.0,13150.0,36103.0,53252.0,5758.0,12240.0,24838.0,510.0,18123.0,27,13114
"Sunfish Lake city, Minnesota",542,47.5,250001,6.0,0.4671,514.0,130.0,125.0,258.0,130000.0,22.0,118.0,200.0,22.0,169.0,27,63544
"West St. Paul city, Minnesota",19779,37.3,56097,697.0,0.4255,14721.0,2922.0,3944.0,11036.0,47337.0,2001.0,3332.0,8841.0,366.0,4801.0,27,69700
"Silver Bay city, Minnesota",1722,51.6,47639,49.0,0.4256,1652.0,292.0,284.0,821.0,45250.0,21.0,284.0,1041.0,191.0,719.0,27,60250
"Hatfield city, Minnesota",30,50.8,52500,0.0,0.1407,30.0,0.0,4.0,26.0,-666666666.0,0.0,4.0,14.0,0.0,14.0,27,27566
"Two Harbors city, Minnesota",3509,39.6,55813,53.0,0.3731,3427.0,383.0,758.0,1611.0,53311.0,17.0,692.0,1857.0,145.0,1091.0,27,65956
"Gary city, Minnesota",321,29.5,63125,0.0,0.3264,275.0,11.0,83.0,192.0,30500.0,26.0,83.0,134.0,5.0,118.0,27,23246
"Halstad city, Minnesota",581,50.1,48056,9.0,0.4429,518.0,62.0,106.0,317.0,45370.0,6.0,106.0,320.0,54.0,201.0,27,26630
"Denham city, Minnesota",27,58.4,-666666666,1.0,0.4174,27.0,1.0,5.0,12.0,-666666666.0,0.0,5.0,25.0,12.0,13.0,27,15670
"Rutledge city, Minnesota",217,51.5,45417,0.0,0.3957,216.0,4.0,33.0,93.0,-666666666.0,1.0,33.0,126.0,39.0,75.0,27,56518
"Climax city, Minnesota",248,36.2,52143,3.0,0.3727,233.0,31.0,51.0,132.0,31875.0,20.0,51.0,120.0,14.0,70.0,27,11962
"Fertile city, Minnesota",966,46.2,51250,30.0,0.4367,913.0,83.0,209.0,493.0,47500.0,13.0,200.0,494.0,72.0,290.0,27,20978
"Fisher city, Minnesota",503,29.2,69250,2.0,0.4209,467.0,67.0,107.0,285.0,52500.0,13.0,103.0,199.0,6.0,133.0,27,21158
"Gully city, Minnesota",70,49.5,35500,0.0,0.3428,66.0,1.0,12.0,37.0,-666666666.0,0.0,12.0,46.0,8.0,19.0,27,26270
"McIntosh city, Minnesota",612,47.4,39444,17.0,0.4183,554.0,37.0,112.0,285.0,41875.0,24.0,112.0,321.0,45.0,173.0,27,39050
"Detroit Lakes city, Minnesota",9197,40.3,49173,153.0,0.5202,8333.0,1286.0,1919.0,4656.0,38728.0,115.0,1898.0,5039.0,964.0,2406.0,27,15832
"Pine Point CDP, Minnesota",373,23.0,26477,39.0,0.3944,11.0,35.0,104.0,82.0,-666666666.0,3.0,57.0,138.0,43.0,65.0,27,51234
"White Earth CDP, Minnesota",567,27.6,20250,19.0,0.4579,22.0,15.0,137.0,142.0,-666666666.0,10.0,106.0,235.0,51.0,73.0,27,70006
"Columbia Heights city, Minnesota",20118,36.6,57882,629.0,0.3847,12726.0,2901.0,4133.0,11103.0,44931.0,3794.0,3974.0,8507.0,445.0,5384.0,27,12700
"Ramsey city, Minnesota",26638,35.8,95014,422.0,0.3424,23843.0,3496.0,6803.0,15764.0,55441.0,1644.0,6498.0,9331.0,190.0,7798.0,27,53026
"Ceylon city, Minnesota",332,40.8,42500,7.0,0.3509,327.0,15.0,61.0,160.0,47500.0,4.0,61.0,190.0,40.0,124.0,27,10792
"Granada city, Minnesota",257,41.8,46528,0.0,0.3539,252.0,10.0,58.0,145.0,33750.0,2.0,53.0,135.0,20.0,102.0,27,24884
"Gonvick city, Minnesota",260,40.3,33864,13.0,0.4475,205.0,28.0,72.0,102.0,44167.0,7.0,72.0,138.0,18.0,100.0,27,24344
"Miesville city, Minnesota",119,34.0,95625,2.0,0.2903,119.0,11.0,20.0,74.0,53750.0,0.0,20.0,55.0,2.0,47.0,27,42092
"New Trier city, Minnesota",93,39.6,83750,1.0,0.2902,93.0,17.0,16.0,62.0,61875.0,3.0,15.0,32.0,0.0,32.0,27,46024
"Randolph city, Minnesota",481,36.1,76042,14.0,0.2761,477.0,30.0,133.0,294.0,45000.0,2.0,131.0,173.0,6.0,143.0,27,53098
"East Lansing city, Michigan",48729,21.4,39867,2204.0,0.5606,37006.0,4795.0,3408.0,25652.0,25671.0,7000.0,3351.0,15182.0,1663.0,4808.0,26,24120
"Muskegon city, Michigan",37633,35.8,32433,1446.0,0.4614,22126.0,2281.0,7545.0,15293.0,34395.0,915.0,6930.0,16109.0,2157.0,6886.0,26,56320
"Jenison CDP, Michigan",17431,39.5,69481,315.0,0.3714,16487.0,2460.0,4236.0,8975.0,48194.0,524.0,3994.0,6820.0,101.0,5680.0,26,41680
"Webberville village, Michigan",1322,36.8,58529,48.0,0.461,1306.0,118.0,311.0,703.0,51010.0,4.0,295.0,559.0,53.0,404.0,26,85080
"Romulus city, Michigan",23527,35.5,51504,1201.0,0.4275,12662.0,1833.0,5616.0,11336.0,50580.0,751.0,4533.0,9180.0,667.0,5482.0,26,69420
"Ludington city, Michigan",8069,43.9,45302,203.0,0.4845,7689.0,819.0,1603.0,3860.0,35234.0,161.0,1459.0,4492.0,889.0,2108.0,26,49640
"Warren city, Michigan",134797,39.4,49619,5150.0,0.4301,91326.0,12203.0,27706.0,67093.0,46161.0,19095.0,25387.0,58308.0,4656.0,37089.0,26,84000
"Beal City CDP, Michigan",336,37.4,72614,8.0,0.3325,336.0,63.0,83.0,213.0,65208.0,0.0,83.0,161.0,32.0,118.0,26,06360
"Lincoln village, Michigan",350,48.4,29643,22.0,0.4454,332.0,9.0,53.0,127.0,40625.0,0.0,47.0,238.0,72.0,100.0,26,47560
"Algonac city, Michigan",4028,42.8,53423,171.0,0.3824,3867.0,338.0,728.0,1967.0,44028.0,81.0,656.0,1971.0,209.0,1247.0,26,01180
"Level Park-Oak Park CDP, Michigan",3833,43.2,44494,190.0,0.3847,3475.0,235.0,451.0,1960.0,41960.0,23.0,431.0,1751.0,143.0,1458.0,26,47230
"Prescott village, Michigan",246,51.0,35000,5.0,0.406,244.0,10.0,42.0,79.0,19583.0,3.0,42.0,146.0,40.0,89.0,26,66300
"Three Oaks village, Michigan",1354,44.3,50903,48.0,0.4654,1299.0,118.0,264.0,752.0,39107.0,40.0,256.0,759.0,128.0,465.0,26,79720
