NAME,Population,Median Age,Median Household Income,Unemployment Rate,Wage-based Gini,White-alone,Bachelor,Poverty,Labor,Manufacturing,Children,Foreign-born,Housing,Vacancy,Owner,State,Place,Cluster
"Ramsey city, Minnesota",26638,35.8,95014,422.0,0.3424,23843.0,3496.0,6803.0,15764.0,55441.0,1644.0,6498.0,9331.0,190.0,7798.0,27,53026,0
"Muskegon city, Michigan",37633,35.8,32433,1446.0,0.4614,22126.0,2281.0,7545.0,15293.0,34395.0,915.0,6930.0,16109.0,2157.0,6886.0,26,56320,0
"Eagan city, Minnesota",66379,38.2,90515,1670.0,0.4216,50741.0,15423.0,14764.0,40101.0,67331.0,9554.0,14395.0,26939.0,728.0,18271.0,27,17288,0
"Roseville city, Minnesota",36026,40.9,71180,726.0,0.4202,27588.0,7627.0,6661.0,19441.0,63800.0,4477.0,6478.0,15935.0,573.0,10057.0,27,55852,0
"Dothan city, Alabama",67894,39.6,47081,2226.0,0.5042,41971.0,7457.0,14665.0,31073.0,38958.0,2062.0,13818.0,31537.0,5269.0,15544.0,1,21184,0
"Banning city, California",31072,41.5,42274,1010.0,0.4584,20820.0,1993.0,6708.0,11069.0,31301.0,5916.0,5788.0,11809.0,818.0,7247.0,6,3820,0
"Calexico city, California",39946,31.8,43592,2529.0,0.4775,32754.0,3276.0,10854.0,16553.0,31526.0,17526.0,7964.0,11411.0,2435.0,5014.0,6,9710,0
"San Luis Obispo city, California",47302,26.7,56071,969.0,0.5157,39634.0,7353.0,5973.0,26204.0,41229.0,4159.0,5838.0,20767.0,1772.0,7365.0,6,68154,0
"Chico city, California",94529,29.7,53324,4099.0,0.4998,77471.0,13362.0,17175.0,51160.0,41495.0,7198.0,16474.0,40307.0,4143.0,16150.0,6,13014,0
"Santa Cruz city, California",64522,28.8,77921,2762.0,0.5133,47705.0,10175.0,7592.0,36030.0,66856.0,9445.0,7193.0,24563.0,1984.0,10617.0,6,69112,0
"Santa Clara city, California",127721,33.9,126006,2688.0,0.4159,50990.0,27318.0,24759.0,72534.0,103951.0,55878.0,23539.0,47251.0,2582.0,19143.0,6,69084,0
"Twin Lakes CDP (Adams County), Colorado",8196,38.0,69116,158.0,0.4386,6754.0,779.0,1663.0,4511.0,46500.0,2135.0,1528.0,2674.0,0.0,1703.0,8,79100,0
"Northglenn city, Colorado",38973,32.5,66300,968.0,0.392,33703.0,3468.0,9546.0,21537.0,37306.0,4029.0,8483.0,13836.0,450.0,7195.0,8,54330,0
"Patterson city, California",22066,31.1,69233,926.0,0.3897,16397.0,991.0,6442.0,10492.0,43306.0,5637.0,6033.0,6354.0,396.0,3648.0,6,56112,0
"Watsonville city, California",53800,30.6,55470,1974.0,0.4374,27336.0,2586.0,15647.0,26236.0,29757.0,19380.0,12704.0,15196.0,479.0,6354.0,6,83668,0
"Queen Creek town, Arizona",43129,35.1,105729,719.0,0.3861,37725.0,6417.0,13899.0,20513.0,86867.0,2608.0,13638.0,14352.0,1503.0,11140.0,4,58150,0
"Maricopa city, Arizona",48629,35.7,74515,915.0,0.3614,33327.0,5081.0,12729.0,23702.0,52951.0,5664.0,11748.0,17721.0,2734.0,11921.0,4,44410,0
