City,Population,Median Age,Median Household Income,Unemployment Rate,Wage-based Gini,White-alone,Bachelor,State,Place,Cluster
"Taylor city, Michigan",61379,38.0,50053,2331.0,0.4172,46207.0,3761.0,26,79000,3
"Decatur city, Alabama",54478,39.9,48429,1436.0,0.4774,36741.0,6345.0,1,20104,3
"Dothan city, Alabama",67894,39.6,47081,2226.0,0.5042,41971.0,7457.0,1,21184,3
"Yuba City city, California",66516,35.0,56816,2585.0,0.4431,42778.0,5339.0,6,86972,3
"Delano city, California",52886,30.4,43641,2521.0,0.4298,37378.0,1994.0,6,18394,3
"Casa Grande city, Arizona",55653,37.2,52841,1589.0,0.4304,40971.0,3745.0,4,10530,3
"Davis city, California",68543,25.5,69379,1980.0,0.526,44289.0,11073.0,6,18100,3
"Tulare city, California",63547,28.4,54037,1857.0,0.4181,50516.0,2775.0,6,80644,3
"Yucaipa city, California",53416,36.4,69104,1122.0,0.4358,45980.0,5128.0,6,87042,3
"Porterville city, California",59697,30.5,43823,3092.0,0.4772,43812.0,2612.0,6,58240,3
"Pittsburg city, California",71422,34.7,74459,3033.0,0.4402,25288.0,7060.0,6,57456,3
"Santa Cruz city, California",64522,28.8,77921,2762.0,0.5133,47705.0,10175.0,6,69112,3
"Paramount city, California",54513,30.9,55670,1390.0,0.3774,25717.0,2457.0,6,55618,3
"Manteca city, California",79129,36.2,72867,2979.0,0.4054,53697.0,6039.0,6,45484,3
"Lake Elsinore city, California",65817,30.6,71476,2514.0,0.3933,33255.0,5579.0,6,39486,3
"Florence-Graham CDP, California",65716,28.8,44328,2508.0,0.4155,30349.0,1665.0,6,24477,3
"Hawthorne city, California",87107,33.2,54215,2786.0,0.4494,31560.0,8893.0,6,32548,3
"La Mesa city, California",59556,35.7,66051,2246.0,0.4337,42494.0,10210.0,6,40004,3
"Watsonville city, California",53800,30.6,55470,1974.0,0.4374,27336.0,2586.0,6,83668,3
"Flagstaff city, Arizona",72402,25.2,58748,3089.0,0.4649,56722.0,9512.0,4,23620,3
