Agency,Year,Region,Current Year Jurisdiction total operating budget,Population,Total number of parks,Total number of non-park sites,Total number of FTEs
Hoffman Estates Park District,2015,IL,20224306.0,51895.0,71,7,185
Hoffman Estates Park District,2017,IL,21593904.0,51895.0,76,3,189
Hoffman Estates Park District,2016,IL,23242276.0,51895.0,79,54,189
Hoffman Estates Park District,2019,IL,,51197.0,76,5,
Hoffman Estates Park District,2014,IL,23340049.0,51895.0,71,7,185
Hoffman Estates Park District,2009,IL,23000000.0,53000.0,69,0,
Hoffman Estates Park District,2010,IL,13369416.0,52000.0,69,0,171
Hoffman Estates Park District,2022,IL,16611139.0,52530.0,80,6,144
Hoffman Estates Park District,2021,IL,12481011.0,52530.0,80,6,144
Hoffman Estates Park District,2020,IL,23343665.0,51197.0,76,5,
Colton Community Services,2015,CA,29755904.0,56505.0,12,0,30
Colton Community Services,2014,CA,29755904.0,56505.0,12,0,30
Colton Community Services,2011,CA,31526457.0,53834.0,12,0,26
Redmond Area Park and Recreation District,2021,OR,1606541.0,51000.0,3,,21
Wylie,2021,TX,46513417.0,57195.0,38,53,71
Wylie,2020,TX,46513417.0,53067.0,37,53,71
Mansfield Parks and Recreation Department,2016,TX,4775144.0,67628.0,17,5,50
Mansfield Parks and Recreation Department,2015,TX,,57627.0,15,0,
Mansfield Parks and Recreation Department,2011,TX,,56368.0,12,6,24
Mansfield Parks and Recreation Department,2010,TX,,56368.0,12,0,24
Mansfield Parks and Recreation Department,2012,TX,,57627.0,12,6,24
Mansfield Parks and Recreation Department,2013,TX,,57627.0,,,
Mansfield Parks and Recreation Department,2014,TX,,57627.0,15,0,
Mansfield Parks and Recreation Department,2020,TX,77000000.0,75597.0,17,5,50
Mansfield Parks and Recreation Department,2022,TX,108880500.0,76000.0,21,5,61
New Bedford Parks Recreation and Beaches,2016,MA,460026.0,95000.0,,,
New Bedford Parks Recreation and Beaches,2017,MA,303974000.0,95000.0,,,
New Bedford Parks Recreation and Beaches,2015,MA,405280.0,94845.0,30,3,5
New Bedford Parks Recreation and Beaches,2013,MA,8500000.0,95500.0,,,4
