Agency,Year,Region,Current Year Jurisdiction total operating budget,Population,Total number of parks,Total number of non-park sites,Total number of FTEs
Stoughton Parks and Recreation Department,2011,WI,11067754.0,12893.0,20,0,8
Stoughton Parks and  Recreation Department,2018,WI,13414038.0,13088.0,23,28,8
La Quinta Community Services Department,2011,CA,124236443.0,44241.0,,,
La Quinta Community Services Department,2012,CA,,,,,
La Quinta Community Services Department,2013,CA,,38401.0,16,0,
Ferndale Recreation,2012,MI,,,,,
Kent County Parks and Rec,2012,MD,44844399.0,20200.0,8,1,25
Kent County Parks and Rec,2011,MD,44844399.0,20200.0,8,1,25
Kent County Parks and Rec,2009,MD,44844399.0,20200.0,8,1,25
Kent County Parks and Rec,2010,MD,44844399.0,20200.0,8,1,25
Kent County Parks and Rec,2013,MD,44844399.0,20200.0,8,1,25
Kent County Parks and Rec,2016,MD,51347550.0,20100.0,,,
Douglas County Parks and Recreation Dep,2010,GA,,,,,
Shelbyville Parks and Recreation Department,2011,TN,,,11,0,18
Beachwood Recreation Department,2011,OH,46849000.0,12186.0,2,0,12
Beachwood Recreation Department,2010,OH,,,2,0,
Beachwood Recreation Department,2014,OH,3019292.0,,3,0,11
Beachwood Recreation Department,2016,OH,3559800.0,10000.0,2,0,54
Beachwood Recreation Department,2015,OH,3611700.0,12000.0,2,1,11
Beachwood Recreation Department,2017,OH,3559800.0,10000.0,2,0,54
Beachwood Recreation Department,2018,OH,3515500.0,11000.0,2,0,35
Beachwood Recreation Department,2020,OH,3515500.0,11000.0,2,0,35
Central Point (City of),2020,OR,1009870.0,18581.0,,,
Central Point (City of),2019,OR,14271648.0,18581.0,13,6,9
Central Point (City of),2015,OR,1384620.0,17300.0,13,6,9
Central Point (City of),2014,OR,1279750.0,17645.0,12,5,7
Central Point (City of),2013,OR,27359770.0,17645.0,12,5,6
Central Point (City of),2011,OR,23324687.0,17169.0,12,0,26
Central Point (City of),2012,OR,27005948.0,17645.0,12,5,6
Oakland (City of) Office of Parks and Recreation,2012,CA,,,,,
Oakland (City of) Office of Parks and Recreation,2011,CA,,,,,
Sussex Parks and Recreation,2011,WI,7916334.0,10040.0,,,
Sussex Parks and Recreation,2010,WI,7916334.0,,,,
Sussex Parks and Recreation,2019,WI,9558417.0,13782.0,15,,
Sussex Parks and Recreation,2018,WV,,,,,
Sussex Parks and Recreation,2020,WI,9558417.0,13782.0,15,,
Sussex Parks and Recreation,2022,WI,8519046.0,13782.0,15,3,55
Sussex Parks and Recreation,2023,WI,11390582.0,13782.0,15,3,58
Sierra Vista Leisure Services,2012,AZ,81758371.0,46109.0,21,20,
