Population,State,City
65508.0,01,03076
54344.0,01,20104
68608.0,01,21184
85386.0,01,35896
50717.0,01,45784
100633.0,01,77256
86091.0,04,04720
74467.0,04,07940
57318.0,04,10530
70516.0,04,10670
50631.0,04,11230
73319.0,04,23620
83519.0,04,28380
55463.0,04,39370
50358.0,04,44410
52162.0,04,58150
104936.0,04,64210
97428.0,04,85540
52070.0,05,05320
66776.0,05,15190
86622.0,05,23290
87788.0,05,24550
77391.0,05,35710
66079.0,05,50450
67787.0,05,60410
80433.0,05,66080
79827.0,06,00562
84509.0,06,00884
50385.0,06,00947
111468.0,06,02252
73339.0,06,02364
57053.0,06,02462
93719.0,06,02553
75659.0,06,03666
76339.0,06,04982
123065.0,06,06000
63013.0,06,08142
82228.0,06,08786
103411.0,06,08954
68583.0,06,10046
114411.0,06,11194
75642.0,06,11390
91354.0,06,11530
64392.0,06,11964
54812.0,06,12048
98683.0,06,13014
89170.0,06,13210
82800.0,06,13214
87665.0,06,13588
112663.0,06,14218
54215.0,06,14890
95804.0,06,15044
112958.0,06,16532
59799.0,06,17610
107197.0,06,17918
68640.0,06,18100
52821.0,06,18394
55870.0,06,19192
111263.0,06,19766
63856.0,06,20018
120504.0,06,20802
65766.0,06,21230
103249.0,06,21712
113917.0,06,22230
62967.0,06,22678
116544.0,06,23182
64787.0,06,24477
79584.0,06,24638
56118.0,06,25380
59401.0,06,28168
55227.0,06,29504
51087.0,06,30014
55386.0,06,31596
57339.0,06,31960
85410.0,06,32548
84686.0,06,33182
95163.0,06,33434
55339.0,06,33588
57761.0,06,36056
89996.0,06,36448
109309.0,06,36546
106646.0,06,37692
65048.0,06,39248
62787.0,06,39290
64201.0,06,39486
84666.0,06,39496
79676.0,06,39892
60208.0,06,40004
91763.0,06,41992
66562.0,06,42202
69625.0,06,44574
65575.0,06,45022
81078.0,06,45484
92968.0,06,46842
84081.0,06,46898
75182.0,06,47766
95638.0,06,48256
62697.0,06,48816
60597.0,06,48914
80104.0,06,49670
114066.0,06,50076
78294.0,06,50258
61342.0,06,50398
86694.0,06,51182
104524.0,06,52526
53781.0,06,52582
53087.0,06,55184
67973.0,06,55282
53949.0,06,55618
77708.0,06,56700
60865.0,06,56784
62507.0,06,56924
71723.0,06,57456
52049.0,06,57526
79975.0,06,57792
59056.0,06,58240
74394.0,06,59444
92025.0,06,59920
71680.0,06,59962
66663.0,06,60018
84518.0,06,60102
103549.0,06,60466
110051.0,06,60620
67070.0,06,62364
53850.0,06,62896
108467.0,06,65042
64929.0,06,65084
90489.0,06,68084
96219.0,06,68196
103619.0,06,68252
59178.0,06,68364
81344.0,06,68378
90911.0,06,69070
65011.0,06,69112
105528.0,06,69196
91600.0,06,70000
57407.0,06,70224
94905.0,06,73080
66878.0,06,73262
58616.0,06,73430
113117.0,06,78120
91462.0,06,80238
64546.0,06,80644
72715.0,06,80812
80815.0,06,80854
75067.0,06,81204
77348.0,06,81344
99958.0,06,81554
121275.0,06,81666
122958.0,06,82590
100659.0,06,82996
69836.0,06,83346
52398.0,06,83668
105808.0,06,84200
90857.0,06,84550
53574.0,06,84816
84821.0,06,85292
59759.0,06,86328
68103.0,06,86832
66660.0,06,86972
54358.0,06,87042
120229.0,08,03455
108777.0,08,07850
69444.0,08,09280
65176.0,08,12415
111331.0,08,12815
55891.0,08,16495
62218.0,08,31660
107445.0,08,32155
107017.0,08,36410
95864.0,08,45970
81774.0,08,46465
55460.0,08,57630
111776.0,08,62000
114832.0,08,83835
60039.0,09,08420
84650.0,09,18430
50036.0,09,22700
122549.0,09,37000
59512.0,09,46450
52902.0,09,47515
72543.0,09,50370
88755.0,09,55990
107841.0,09,80000
63023.0,09,82660
54666.0,09,82800
70655.0,10,77580
91468.0,12,00410
52795.0,12,01700
98776.0,12,07300
57755.0,12,07525
78060.0,12,07875
57346.0,12,07950
115909.0,12,08150
115975.0,12,12875
60935.0,12,13275
50436.0,12,14895
105594.0,12,16475
68711.0,12,16525
80822.0,12,16725
68916.0,12,17100
91847.0,12,17200
62367.0,12,17935
83505.0,12,24125
59174.0,12,24562
68937.0,12,32275
65139.0,12,35875
55732.0,12,36062
77228.0,12,36100
72410.0,12,36950
110335.0,12,38250
84666.0,12,39425
71827.0,12,39550
124523.0,12,39925
58465.0,12,43125
82281.0,12,43975
89439.0,12,45025
110767.0,12,45060
62468.0,12,49450
68779.0,12,49675
60021.0,12,50750
113751.0,12,54000
56979.0,12,54075
88222.0,12,54200
61787.0,12,54350
52918.0,12,55925
81415.0,12,56825
53486.0,12,56975
94366.0,12,57425
68280.0,12,57900
111202.0,12,58050
64335.0,12,58350
63815.0,12,58575
95849.0,12,60950
53132.0,12,62625
